ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
No,0.04552645,455.26450113,No,No,"0,2",Recuperación,No,Botadero S/N,Arequipa,Huanuhuanu,598554.0,1647,Municipalidad distrital de Huanuhuanu,Municipalidad distrital de Huanuhuanu,8269339.0,91.38527011,Caravelí,No,18
No,0.00966486,96.64862925,No,Si,"0,400",Recuperación,No,Botadero Municipal,Arequipa,Uñon,776144.0,578,Municipalidad distrital de Uñon,Municipalidad distrital de Uñon,8259336.0,37.97838783,Castilla,No,18
Si,0.37925971,3792.59714744,No,No,"0,7",Recuperación,No,Botadero S/N,Arequipa,Tipan,770931.0,700,Municipalidad distrital de Tipan,Municipalidad distrital de Tipan,8255285.0,250.26626841,Castilla,No,18
No,1.71,17100.0,No,No,1,Recuperación,No,Botadero S/N (Orcopampa),Arequipa,Orcopampa,784020.0,1765,MUNICIPALIDAD DISTRITAL DE ORCOPAMPA,Municipalidad Distrital de Orcopampa,8307450.0,0.0,Castilla,No,18
No,0.10473398,1047.33976719,No,No,"0,3",Recuperación,No,Botadero S/N,Arequipa,Madrigal,197360.0,246,Municipalidad distrital de Madrigal,Municipalidad distrital de Madrigal,8273875.0,123.61390216,Caylloma,No,19
Si,1.0104766,10104.7659805,No,No,"0,7",Recuperación,No,Botadero Culuyo,Arequipa,Callalli,244795.0,265,Municipalidad distrital de Callalli,Municipalidad distrital de Callalli,8284471.0,447.96483854,Caylloma,No,19
No,0.09169608,916.96075947,No,No,"0,5",Recuperación,No,Botadero S/N,Arequipa,Sibayo,235729.0,267,Municipalidad distrital de Sibayo,Municipalidad distrital de Sibayo,8287536.0,124.01179601,Caylloma,No,19
No,0.07257907,725.79070831,No,No,"0,3",Recuperación,No,Botadero S/N,Arequipa,Tisco,237570.0,268,Municipalidad distrital de Tisco,Municipalidad distrital de Tisco,8301824.0,105.95748,Caylloma,No,19
No,0.34086364,3408.63636351,No,No,"0,4",Recuperación,No,Botadero S/N,Arequipa,Ichupampa,210249.0,793,Municipalidad distrital de Ichupampa,"Municipalidad distrital de Ichupampa, Municipalidad distrital de Chilcaymarca",8268346.0,230.36130227,Caylloma,No,19
No,0.1264886,1264.88596518,No,No,"0,3",Recuperación,No,Botadero S/N,Arequipa,Maca,199913.0,794,Municipalidad distrital de Maca,Municipalidad distrital de Maca,8268959.0,140.89567307,Caylloma,No,19
No,0.06455148,645.51476571,No,No,"0,857",Recuperación,No,Botadero Sector Matadero,Arequipa,Huambo,811293.0,1008,Municipalidad distrital de Huambo,Municipalidad distrital de Huambo,8255535.0,96.6167658,Caylloma,No,18
No,0.07634921,763.49213682,No,No,"0,3",Recuperación,No,Botadero S/N,Arequipa,Lari,203764.0,1081,Municipalidad distrital de Lari,Municipalidad distrital de Lari,8270257.0,109.4674215,Caylloma,No,19
No,0.26450249,2645.0249488,No,No,"0,067",Recuperación,No,Botadero Pampa Blanca,Arequipa,Lluta,820343.0,1484,Municipalidad distrital de Lluta,Municipalidad distrital de Lluta,8231155.0,213.82181713,Caylloma,No,18
No,0.59744411,5974.44114598,No,Si,4,Recuperación,No,Botadero Municipal,Arequipa,Chuquibamba,750439.0,944,Municipalidad provincial de Condesuyos,Municipalidad provincial de Condesuyos,8248764.0,367.38421727,Condesuyos,No,18
No,0.2581208,2581.20795717,No,No,"0,002",Recuperación,No,Botadero Municipal,Arequipa,Andaray,729722.0,1026,Municipalidad distrital de Andaray,Municipalidad distrital de Andaray,8251315.0,218.903248,Condesuyos,No,18
No,0.09156309,915.63091799,No,No,"0,4",Recuperación,No,Botadero S/N,Arequipa,Cayarani,821486.0,1143,Municipalidad distrital de Cayarani,Municipalidad distrital de Cayarani,8375291.0,123.48972123,Condesuyos,No,18
